Date,Open,High,Low,Close,Adj Close,Volume,Ticker
"Nov 10, 2025",0.003158,0.003371,0.003093,0.003208,0.003208,"24,466",HYPER36428-USD
"Nov 9, 2025",0.003403,0.003414,0.002990,0.003158,0.003158,"22,397",HYPER36428-USD
"Nov 8, 2025",0.003487,0.003567,0.003305,0.003403,0.003403,"14,613",HYPER36428-USD
"Nov 7, 2025",0.003031,0.003531,0.002855,0.003487,0.003487,"30,515",HYPER36428-USD
"Nov 6, 2025",0.003316,0.003360,0.002938,0.003031,0.003031,"22,343",HYPER36428-USD
"Nov 5, 2025",0.003420,0.003865,0.003254,0.003316,0.003316,"32,464",HYPER36428-USD
"Nov 4, 2025",0.003948,0.003950,0.003259,0.003420,0.003420,"17,471",HYPER36428-USD
"Nov 3, 2025",0.004560,0.004565,0.003352,0.003948,0.003948,"82,599",HYPER36428-USD
"Nov 2, 2025",0.005271,0.005425,0.004444,0.004560,0.004560,"41,429",HYPER36428-USD
"Nov 1, 2025",0.005433,0.005433,0.005259,0.005271,0.005271,"5,026",HYPER36428-USD
"Oct 31, 2025",0.005468,0.005580,0.005407,0.005433,0.005433,"7,444",HYPER36428-USD
"Oct 30, 2025",0.006884,0.007018,0.005204,0.005468,0.005468,"77,489",HYPER36428-USD
"Oct 29, 2025",0.007261,0.007749,0.006884,0.006884,0.006884,"40,372",HYPER36428-USD
"Oct 28, 2025",0.009166,0.011016,0.006694,0.007261,0.007261,"319,283",HYPER36428-USD
"Oct 27, 2025",0.009309,0.010415,0.008831,0.009165,0.009165,"90,326",HYPER36428-USD
"Oct 26, 2025",0.006426,0.009318,0.006118,0.009309,0.009309,"77,821",HYPER36428-USD
"Oct 25, 2025",0.006956,0.007170,0.005864,0.006426,0.006426,"86,743",HYPER36428-USD
"Oct 24, 2025",0.006568,0.007135,0.005441,0.006956,0.006956,"103,659",HYPER36428-USD
"Oct 23, 2025",0.006484,0.006832,0.005030,0.006568,0.006568,"202,930",HYPER36428-USD
"Oct 22, 2025",0.007089,0.007170,0.006182,0.006484,0.006484,-,HYPER36428-USD
"Oct 21, 2025",0.006839,0.008206,0.006517,0.007089,0.007089,"15,311",HYPER36428-USD
"Oct 20, 2025",0.008042,0.008042,0.006535,0.006839,0.006839,"14,231",HYPER36428-USD
"Oct 19, 2025",0.007841,0.008162,0.007751,0.008042,0.008042,-,HYPER36428-USD
"Oct 18, 2025",0.008093,0.008101,0.007834,0.007841,0.007841,"2,023",HYPER36428-USD
"Oct 17, 2025",0.007687,0.008262,0.007131,0.008093,0.008093,"15,365",HYPER36428-USD
"Oct 16, 2025",0.008048,0.008071,0.007626,0.007687,0.007687,"5,306",HYPER36428-USD
"Oct 15, 2025",0.008216,0.008509,0.007948,0.008048,0.008048,"3,853",HYPER36428-USD
"Oct 14, 2025",0.009039,0.009039,0.008190,0.008216,0.008216,-,HYPER36428-USD
"Oct 13, 2025",0.009304,0.009304,0.008240,0.009039,0.009039,-,HYPER36428-USD
"Oct 12, 2025",0.007042,0.009304,0.007042,0.009304,0.009304,"13,639",HYPER36428-USD
"Oct 11, 2025",0.007461,0.007546,0.007027,0.007042,0.007042,"13,669",HYPER36428-USD
"Oct 10, 2025",0.009534,0.009552,0.007118,0.007461,0.007461,"33,299",HYPER36428-USD
"Oct 9, 2025",0.010514,0.010526,0.008981,0.009534,0.009534,"28,039",HYPER36428-USD
"Oct 8, 2025",0.010632,0.010863,0.010287,0.010514,0.010514,"15,039",HYPER36428-USD
"Oct 7, 2025",0.011269,0.011269,0.010589,0.010632,0.010632,"23,838",HYPER36428-USD
"Oct 6, 2025",0.010113,0.011351,0.009319,0.011269,0.011269,"54,720",HYPER36428-USD
"Oct 5, 2025",0.010691,0.011822,0.009840,0.010113,0.010113,"69,864",HYPER36428-USD
"Oct 4, 2025",0.011390,0.011390,0.009599,0.010691,0.010691,-,HYPER36428-USD
"Oct 3, 2025",0.012025,0.012078,0.011279,0.011390,0.011390,"28,588",HYPER36428-USD
"Oct 2, 2025",0.011752,0.013216,0.011558,0.012025,0.012025,"36,491",HYPER36428-USD
"Oct 1, 2025",0.011661,0.011971,0.011036,0.011752,0.011752,"32,529",HYPER36428-USD
"Sep 30, 2025",0.012334,0.012380,0.011609,0.011661,0.011661,"31,757",HYPER36428-USD
"Sep 29, 2025",0.012186,0.012556,0.011895,0.012334,0.012334,"16,461",HYPER36428-USD
"Sep 28, 2025",0.012694,0.012694,0.011238,0.012186,0.012186,"40,081",HYPER36428-USD
"Sep 27, 2025",0.012353,0.013164,0.012353,0.012694,0.012694,"19,746",HYPER36428-USD
"Sep 26, 2025",0.010564,0.012417,0.010244,0.012353,0.012353,"35,251",HYPER36428-USD
"Sep 25, 2025",0.011962,0.012024,0.010504,0.010564,0.010564,"22,514",HYPER36428-USD
"Sep 24, 2025",0.013147,0.013164,0.011694,0.011962,0.011962,"27,876",HYPER36428-USD
"Sep 23, 2025",0.011966,0.013235,0.011345,0.013147,0.013147,"53,678",HYPER36428-USD
"Sep 22, 2025",0.013399,0.013410,0.011697,0.011966,0.011966,"52,023",HYPER36428-USD
"Sep 21, 2025",0.013816,0.013875,0.012663,0.013399,0.013399,"42,509",HYPER36428-USD
"Sep 20, 2025",0.014884,0.015035,0.013581,0.013816,0.013816,"31,901",HYPER36428-USD
"Sep 19, 2025",0.015154,0.015313,0.014642,0.014884,0.014884,"21,189",HYPER36428-USD
"Sep 18, 2025",0.016918,0.017020,0.015154,0.015154,0.015154,"48,443",HYPER36428-USD
"Sep 17, 2025",0.017676,0.017676,0.014889,0.016918,0.016918,"69,331",HYPER36428-USD
"Sep 16, 2025",0.017963,0.018094,0.016843,0.017676,0.017676,"67,560",HYPER36428-USD
"Sep 15, 2025",0.018201,0.018769,0.016613,0.017963,0.017963,"88,889",HYPER36428-USD
"Sep 14, 2025",0.017652,0.018512,0.016652,0.018201,0.018201,"64,326",HYPER36428-USD
"Sep 13, 2025",0.018573,0.018634,0.016806,0.017592,0.017592,"35,950",HYPER36428-USD
"Sep 12, 2025",0.016428,0.018872,0.016428,0.018573,0.018573,"79,537",HYPER36428-USD
"Sep 11, 2025",0.016813,0.017111,0.016051,0.016428,0.016428,"143,695",HYPER36428-USD
"Sep 10, 2025",0.014196,0.018023,0.014082,0.016813,0.016813,"117,764",HYPER36428-USD
"Sep 9, 2025",0.014093,0.014356,0.013655,0.014196,0.014196,"23,613",HYPER36428-USD
"Sep 8, 2025",0.013491,0.014629,0.013275,0.014093,0.014093,"39,090",HYPER36428-USD
"Sep 7, 2025",0.013860,0.014241,0.013305,0.013491,0.013491,"23,574",HYPER36428-USD
"Sep 6, 2025",0.014574,0.014644,0.013761,0.013860,0.013860,"14,010",HYPER36428-USD
"Sep 5, 2025",0.014753,0.015302,0.014467,0.014574,0.014574,"9,925",HYPER36428-USD
"Sep 4, 2025",0.015488,0.015646,0.014163,0.014753,0.014753,"138,085",HYPER36428-USD
