Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2025-09-25,113330.16,113541.09,108713.4,109049.29,109049.29,75528654284,BTC-USD
2025-09-26,0.010564,0.012417,0.010244,0.012353,0.012353,35251,HYPER36428-USD
2025-09-26,109041.3,110359.2,108728.98,109712.83,109712.83,57738288949,BTC-USD
2025-09-26,0.001101,0.001632,0.000906,0.001632,0.001632,78133,HOOD37295-USD
2025-09-27,0.012353,0.013164,0.012353,0.012694,0.012694,19746,HYPER36428-USD
2025-09-27,109707.14,109778.5,109144.3,109681.95,109681.95,26308042910,BTC-USD
2025-09-27,0.001956,0.007025,0.001941,0.006904,0.006904,100653,HOOD37295-USD
2025-09-28,0.012694,0.012694,0.011238,0.012186,0.012186,40081,HYPER36428-USD
2025-09-28,109681.95,112375.48,109236.95,112122.64,112122.64,33371048505,BTC-USD
2025-09-28,0.006904,0.006951,0.000991,0.001038,0.001038,99606,HOOD37295-USD
2025-09-29,0.012186,0.012556,0.011895,0.012334,0.012334,16461,HYPER36428-USD
2025-09-29,0.001038,0.00775,0.001022,0.006955,0.006955,267057,HOOD37295-USD
2025-09-29,112117.88,114473.57,111589.95,114400.38,114400.38,60000147466,BTC-USD
2025-09-30,0.012334,0.01238,0.011609,0.011661,0.011661,31757,HYPER36428-USD
2025-09-30,0.006955,0.007692,0.006862,0.007513,0.007513,355352,HOOD37295-USD
2025-09-30,114396.52,114836.62,112740.56,114056.09,114056.09,58986330258,BTC-USD
2025-10-01,114057.59,118648.93,113981.4,118648.93,118648.93,71328680132,BTC-USD
2025-10-01,0.011661,0.011971,0.011036,0.011752,0.011752,32529,HYPER36428-USD
2025-10-01,0.007513,0.058333,0.007186,0.056217,0.056217,359394,HOOD37295-USD
2025-10-02,118652.38,121086.41,118383.16,120681.26,120681.26,71415163912,BTC-USD
2025-10-02,0.011752,0.013216,0.011558,0.012025,0.012025,36491,HYPER36428-USD
2025-10-02,0.056107,0.057971,0.001101,0.001195,0.001195,265350,HOOD37295-USD
2025-10-03,0.001195,0.001389,0.001111,0.001386,0.001386,0,HOOD37295-USD
2025-10-03,120656.98,123944.7,119344.31,122266.53,122266.53,83941392228,BTC-USD
2025-10-03,0.012025,0.012078,0.011279,0.01139,0.01139,28588,HYPER36428-USD
2025-10-04,122267.47,122857.64,121577.57,122425.43,122425.43,36769171735,BTC-USD
2025-10-04,0.001386,0.008871,0.001122,0.008129,0.008129,356134,HOOD37295-USD
2025-10-04,0.01139,0.01139,0.009599,0.010691,0.010691,0,HYPER36428-USD
2025-10-05,0.008129,0.008477,0.007897,0.007989,0.007989,362654,HOOD37295-USD
2025-10-05,0.010691,0.011822,0.00984,0.010113,0.010113,69864,HYPER36428-USD
2025-10-05,122419.67,125559.21,122191.96,123513.48,123513.48,73689317763,BTC-USD
2025-10-06,0.007989,0.008588,0.001137,0.001245,0.001245,201209,HOOD37295-USD
2025-10-06,0.010113,0.011351,0.009319,0.011269,0.011269,54720,HYPER36428-USD
2025-10-06,123510.45,126198.07,123196.05,124752.53,124752.53,72568881188,BTC-USD
2025-10-07,0.011269,0.011269,0.010589,0.010632,0.010632,23838,HYPER36428-USD
2025-10-07,124752.14,125184.02,120681.97,121451.38,121451.38,76149412513,BTC-USD
2025-10-07,0.001245,0.009513,0.001179,0.009028,0.009028,30735,HOOD37295-USD
2025-10-08,121448.35,124167.09,121119.18,123354.87,123354.87,65354305286,BTC-USD
2025-10-08,0.010632,0.010863,0.010287,0.010514,0.010514,15039,HYPER36428-USD
2025-10-08,0.009028,0.067676,0.008963,0.067505,0.067505,24765,HOOD37295-USD
2025-10-09,0.010514,0.010526,0.008981,0.009534,0.009534,28039,HYPER36428-USD
2025-10-09,123337.07,123739.34,119812.03,121705.59,121705.59,74653009425,BTC-USD
2025-10-09,0.067505,0.067573,0.063679,0.064381,0.064381,30780,HOOD37295-USD
2025-10-10,0.06437,0.064467,0.000989,0.001077,0.001077,28147,HOOD37295-USD
2025-10-10,121704.74,122509.66,104582.41,113214.37,113214.37,153125018868,BTC-USD
